area,v3_official_commit,pinned_v4_commit,v3_behavior,v4_behavior,experiment_c_relevance,evidence
version_identity,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"build.gradle version=3.0 and description=CICFlowMeterV3; Maven artifact/name SimpleFlowMeterV3","build.gradle version=4.0 and description=CICFlowMeterV4; Maven artifact/name SimpleFlowMeterV4","proves the pinned extractor is post-transition V4, not V3","official Git history; transition commit 21790da0175983627acce41537ed89ace73a2af0"
repository_refs,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"no tags or release objects; master history only","no tags or release objects; master plus dependency branches","immutable commits exist but no official release binary/tag identifies the CICIDS2017 build","git show-ref; GitHub Releases reports no releases"
flow_key_lookup,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"looks up currentFlows only by packet.getFlowId()","tests packet.fwdFlowId() and packet.bwdFlowId() and uses whichever exists","material: reverse-direction association can change biflow grouping and counts","FlowGenerator.addPacket"
tcp_fin_termination,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"any FIN immediately appends the packet, emits the flow, and removes it","tracks directional FINs and normally retains a half-closed flow; source contains a duplicated getBwdFINFlags()+getBwdFINFlags() condition","material: V3 first-FIN closure can split trailing ACK/FIN packets into later flow records; V4 behavior is materially different and contains suspicious asymmetric logic","FlowGenerator.addPacket FIN branches"
tcp_rst_termination,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"no separate RST termination branch","RST appends packet, emits flow, and removes it","material for reset-heavy traffic and possible record counts","FlowGenerator.addPacket"
flow_timeout,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"splits when current timestamp minus flow start exceeds flowTimeOut","same elapsed-from-start threshold","no algorithmic difference found in threshold test, but construction around the replacement flow differs","FlowGenerator.addPacket timeout branch"
activity_timeout,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"FlowGenerator calls updateActiveIdleTime; subflow helper contains dimensionally suspect timestamp expression and hard-coded 5000000","activity timeout is stored in BasicFlow; subflow helper uses packet timestamp and configured activity timeout","material to active/idle features; does not itself emit a flow","BasicFlow.detectUpdateSubflows and FlowGenerator.addPacket"
subflow_updates,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"detectUpdateSubflows is called for first packet but commented out for later packets","detectUpdateSubflows is called for every packet","material: V3 subflow counts/averages generally remain at zero while V4 can populate them","BasicFlow.firstPacket and BasicFlow.addPacket"
bulk_updates,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"updateFlowBulk is called for first packet but commented out for later packets","updateFlowBulk is called for every packet","material: bulk averages/rates can differ","BasicFlow.firstPacket and BasicFlow.addPacket"
tcp_flag_counts,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"checkFlags is called for first packet but commented out for later packets","checkFlags is called for every packet and output order is explicitly FIN,SYN,RST,PSH,ACK,URG,CWR,ECE","material: aggregate FIN/RST/PSH/ACK/URG/CWR/ECE counts differ; V3 header calls the CWR slot CWE","BasicFlow.firstPacket, addPacket, checkFlags, dumpFlowBasedFeaturesEx; FlowFeature"
initial_tcp_windows,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"default -1; forward initialization uses byte-array identity comparison in firstPacket; backward window is overwritten on every backward packet","default 0; forward initialization uses Arrays.equals; backward window remains overwritten on every backward packet","material: missing/default and direction classification can differ; neither source cleanly preserves only the first backward window","BasicFlow fields, firstPacket, addPacket; BasicPacketInfo TCPWindow default"
payload_bytes,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"packet payload bytes feed length/byte statistics; payloadPacket counter incremented directly by bulk logic","same payload-byte basis; payloadPacket encapsulated behind an incrementing getter","no substantive payload-byte formula change found in the compared classes; flow membership still changes aggregates","BasicFlow and BasicPacketInfo diff"
header_bytes,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"sums packet.getHeaderBytes; extended dump emits forward header length twice","same sum; extended dump retains duplicate forward-header value, while a newer output path comments out position 62","material to the dataset-artifact duplicate depending on output path; primary header formula unchanged","BasicFlow dump methods"
standard_deviation,a26aae27f21d165ff30b4b28e75124a5f9b4b2c4,98a5ebad0df579cc8b43eedd3421b3ae87699901,"Apache Commons Math SummaryStatistics.getStandardDeviation","same implementation calls","no direct formula change found; different flow membership and sample population can still change values","BasicFlow statistics getters/dump"
