model_feature,extractor_feature,semantic_match,training_unit,extractor_unit,conversion_required,conversion_formula,confidence,evidence,notes,category,direction_convention,aggregation_convention
destination_port,dst_port,YES,TCP/UDP port number,TCP/UDP port number,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
flow_duration,flow_duration,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
total_fwd_packets,tot_fwd_pkts,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
total_backward_packets,tot_bwd_pkts,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
total_length_of_fwd_packets,totlen_fwd_pkts,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
total_length_of_bwd_packets,totlen_bwd_pkts,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
fwd_packet_length_max,fwd_pkt_len_max,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
fwd_packet_length_min,fwd_pkt_len_min,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
fwd_packet_length_mean,fwd_pkt_len_mean,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
fwd_packet_length_std,fwd_pkt_len_std,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,population std/variance; Python ddof=0 versus Java sample convention
bwd_packet_length_max,bwd_pkt_len_max,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
bwd_packet_length_min,bwd_pkt_len_min,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
